f(t), 実行結果, 実行結果(浮動小数点表記), 理論値
f(0), 0.69999999999999995559, 0x3fe6666666666666,0.70000000000000000000 
f(1), 0.60000000000000008882, 0x3fe3333333333334,0.60000000000000000000 
f(2), 0.79999999999999982236, 0x3fe9999999999998,0.80000000000000000000 
f(3), 0.40000000000000035527, 0x3fd99999999999a0,0.40000000000000000000 
f(4), 0.80000000000000071054, 0x3fe99999999999a0,0.80000000000000000000 
f(5), 0.39999999999999857891, 0x3fd9999999999980,0.40000000000000000000 
f(6), 0.79999999999999715783, 0x3fe9999999999980,0.80000000000000000000 
f(7), 0.40000000000000568434, 0x3fd9999999999a00,0.40000000000000000000 
f(8), 0.80000000000001136868, 0x3fe9999999999a00,0.80000000000000000000 
f(9), 0.39999999999997726263, 0x3fd9999999999800,0.40000000000000000000 
f(10), 0.79999999999995452526, 0x3fe9999999999800,0.80000000000000000000 
f(11), 0.40000000000009094947, 0x3fd999999999a000,0.40000000000000000000 
f(12), 0.80000000000018189894, 0x3fe999999999a000,0.80000000000000000000 
f(13), 0.39999999999963620212, 0x3fd9999999998000,0.40000000000000000000 
f(14), 0.79999999999927240424, 0x3fe9999999998000,0.80000000000000000000 
f(15), 0.40000000000145519152, 0x3fd99999999a0000,0.40000000000000000000 
f(16), 0.80000000000291038305, 0x3fe99999999a0000,0.80000000000000000000 
f(17), 0.39999999999417923391, 0x3fd9999999980000,0.40000000000000000000 
f(18), 0.79999999998835846782, 0x3fe9999999980000,0.80000000000000000000 
f(19), 0.40000000002328306437, 0x3fd9999999a00000,0.40000000000000000000 
f(20), 0.80000000004656612873, 0x3fe9999999a00000,0.80000000000000000000 
f(21), 0.39999999990686774254, 0x3fd9999999800000,0.40000000000000000000 
f(22), 0.79999999981373548508, 0x3fe9999999800000,0.80000000000000000000 
f(23), 0.40000000037252902985, 0x3fd999999a000000,0.40000000000000000000 
f(24), 0.80000000074505805969, 0x3fe999999a000000,0.80000000000000000000 
f(25), 0.39999999850988388062, 0x3fd9999998000000,0.40000000000000000000 
f(26), 0.79999999701976776123, 0x3fe9999998000000,0.80000000000000000000 
f(27), 0.40000000596046447754, 0x3fd99999a0000000,0.40000000000000000000 
f(28), 0.80000001192092895508, 0x3fe99999a0000000,0.80000000000000000000 
f(29), 0.39999997615814208984, 0x3fd9999980000000,0.40000000000000000000 
f(30), 0.79999995231628417969, 0x3fe9999980000000,0.80000000000000000000 
f(31), 0.40000009536743164062, 0x3fd9999a00000000,0.40000000000000000000 
f(32), 0.80000019073486328125, 0x3fe9999a00000000,0.80000000000000000000 
f(33), 0.39999961853027343750, 0x3fd9999800000000,0.40000000000000000000 
f(34), 0.79999923706054687500, 0x3fe9999800000000,0.80000000000000000000 
f(35), 0.40000152587890625000, 0x3fd999a000000000,0.40000000000000000000 
f(36), 0.80000305175781250000, 0x3fe999a000000000,0.80000000000000000000 
f(37), 0.39999389648437500000, 0x3fd9998000000000,0.40000000000000000000 
f(38), 0.79998779296875000000, 0x3fe9998000000000,0.80000000000000000000 
f(39), 0.40002441406250000000, 0x3fd99a0000000000,0.40000000000000000000 
f(40), 0.80004882812500000000, 0x3fe99a0000000000,0.80000000000000000000 
f(41), 0.39990234375000000000, 0x3fd9980000000000,0.40000000000000000000 
f(42), 0.79980468750000000000, 0x3fe9980000000000,0.80000000000000000000 
f(43), 0.40039062500000000000, 0x3fd9a00000000000,0.40000000000000000000 
f(44), 0.80078125000000000000, 0x3fe9a00000000000,0.80000000000000000000 
f(45), 0.39843750000000000000, 0x3fd9800000000000,0.40000000000000000000 
f(46), 0.79687500000000000000, 0x3fe9800000000000,0.80000000000000000000 
f(47), 0.40625000000000000000, 0x3fda000000000000,0.40000000000000000000 
f(48), 0.81250000000000000000, 0x3fea000000000000,0.80000000000000000000 
f(49), 0.37500000000000000000, 0x3fd8000000000000,0.40000000000000000000 
f(50), 0.75000000000000000000, 0x3fe8000000000000,0.80000000000000000000 
f(51), 0.50000000000000000000, 0x3fe0000000000000,0.40000000000000000000 
f(52), 1.00000000000000000000, 0x3ff0000000000000,0.80000000000000000000 
f(53),0.00000000000000000000 , 0x8000000000000000,0.40000000000000000000 
f(54),0.00000000000000000000 , 0x8000000000000000,0.80000000000000000000 
f(55),0.00000000000000000000 , 0x8000000000000000,0.40000000000000000000 
f(56),0.00000000000000000000 , 0x8000000000000000,0.80000000000000000000 
f(57),0.00000000000000000000 , 0x8000000000000000,0.40000000000000000000 
