f(t), 実行結果, 実行結果(浮動小数点表記), 理論値
f(90),0.00000000000000000000 , 0x8000000000000000,0.32000000000000000000 
f(91),0.00000000000000000000 , 0x8000000000000000,0.64000000000000000000 
f(92),0.00000000000000000000 , 0x8000000000000000,0.72000000000000000000 
f(93),0.00000000000000000000 , 0x8000000000000000,0.56000000000000000000 
f(94),0.00000000000000000000 , 0x8000000000000000,0.88000000000000000000 
f(95),0.00000000000000000000 , 0x8000000000000000,0.24000000000000000000 
f(96),0.00000000000000000000 , 0x8000000000000000,0.48000000000000000000 
f(97),0.00000000000000000000 , 0x8000000000000000,0.96000000000000000000 
f(98),0.00000000000000000000 , 0x8000000000000000,0.08000000000000000000 
f(99),0.00000000000000000000 , 0x8000000000000000,0.16000000000000000000
