f(t), 実行結果, 実行結果(浮動小数点表記), 理論値
f(0), 0.50000000000000000000, 0x3fe0000000000000,0.50000000000000000000 
f(1), 1.00000000000000000000, 0x3ff0000000000000,1.00000000000000000000 
f(2),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(3),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(4),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(5),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(6),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(7),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(8),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(9),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
f(10),0.00000000000000000000 , 0x8000000000000000,0.00000000000000000000 
